w Gamma(a,b) + (1-w) InverseGamma(g,d): [a,b,g,d,w] =	[2.285781, 0.555556, 3.38488, 11.85386, 0.6665321]
gene	p_phi_m_neg	q_phi_m_neg	phi_m_neg	p_phi_k_neg	q_phi_k_neg	phi_k_neg	p_phi_neg	q_phi_neg	phi_neg	p_phi_m_pos	q_phi_m_pos	phi_m_pos_or_p(m=0|s)	p_phi_k_pos	q_phi_k_pos	phi_k_pos_or_p(k=0|s)	p_phi_pos	q_phi_pos	phi_pos_or_p(m=0|s)*p(k=0|s)	m_obs	k_obs	s_obs	dm/ds	dk/ds	d(m+k)/ds
ENSG00000000003.16	1.532542e-01	2.507086e-01	1.465978	7.288369e-01	8.083671e-01	0.111874	1.895821e-01	2.868599e-01	1.577852	1.000000e+00	1.000000e+00	0.230852	1.000000e+00	1.000000e+00	0.894157	1.000000e+00	1.000000e+00	0.206418	0	0	0	0.000000	0.000000	0.000000
ENSG00000000005.6	1.474793e-01	2.456063e-01	1.493812	2.497373e-01	6.509314e-01	0.291505	1.307928e-01	2.347511e-01	1.785317	8.525901e-01	1.000000e+00	0.087376	1.000000e+00	1.000000e+00	0.747138	8.840564e-01	1.000000e+00	0.087376	1	0	1	0.247747	0.000000	0.230116
ENSG00000000419.14	1.071619e-01	2.065896e-01	1.672234	4.675228e-01	7.345923e-01	0.198933	1.169133e-01	2.198585e-01	1.871167	1.000000e+00	1.000000e+00	0.187827	1.000000e+00	1.000000e+00	0.819605	1.000000e+00	1.000000e+00	0.153944	0	0	0	0.000000	0.000000	0.000000
ENSG00000000457.14	6.929733e-01	7.201893e-01	0.317804	4.675228e-01	7.345923e-01	0.187749	6.979794e-01	7.292226e-01	0.505553	3.372283e-01	1.000000e+00	0.944960	1.000000e+00	1.000000e+00	0.828822	4.839130e-01	1.000000e+00	0.944960	4	0	1	1.188034	0.000000	1.122978
ENSG00000000460.17	6.094622e-03	4.090730e-02	3.540256	1.636791e-02	3.396341e-01	0.856747	3.183074e-03	2.653601e-02	4.397003	1.000000e+00	1.000000e+00	0.015536	1.000000e+00	1.000000e+00	0.424541	1.000000e+00	1.000000e+00	0.015536	5	0	8	0.297702	0.000000	0.282462
ENSG00000000938.13	4.823979e-03	3.578030e-02	3.717101	2.221663e-01	6.360693e-01	0.304202	5.255363e-03	3.615851e-02	4.021303	1.000000e+00	1.000000e+00	0.024304	1.000000e+00	1.000000e+00	0.737712	1.000000e+00	1.000000e+00	0.017930	0	0	3	0.000000	0.000000	0.000000
ENSG00000000971.17	2.613106e-02	9.358451e-02	2.588429	1.636791e-02	3.396341e-01	0.842562	1.212930e-02	5.916858e-02	3.430991	8.827223e-01	1.000000e+00	0.047818	1.000000e+00	1.000000e+00	0.430606	9.048440e-01	1.000000e+00	0.047818	6	0	7	0.388296	0.000000	0.367007
ENSG00000001036.14	1.321892e-02	6.373477e-02	3.055444	1.555815e-01	5.923518e-01	0.370944	1.212930e-02	5.916858e-02	3.426388	1.000000e+00	1.000000e+00	0.047102	1.000000e+00	1.000000e+00	0.690083	1.000000e+00	1.000000e+00	0.032504	0	0	2	0.000000	0.000000	0.000000
ENSG00000001084.13	1.855104e-01	2.780042e-01	1.368764	3.208534e-01	6.842968e-01	0.256780	1.706048e-01	2.706106e-01	1.625543	8.369321e-01	1.000000e+00	0.102523	1.000000e+00	1.000000e+00	0.773539	8.729556e-01	1.000000e+00	0.102523	1	0	1	0.271764	0.000000	0.253153
ENSG00000001167.15	2.798707e-03	2.622247e-02	4.099264	4.349809e-02	4.408100e-01	0.612477	2.046430e-03	2.051856e-02	4.711741	1.000000e+00	1.000000e+00	0.016585	1.000000e+00	1.000000e+00	0.542007	1.000000e+00	1.000000e+00	0.008989	0	0	3	0.000000	0.000000	0.000000
ENSG00000001460.18	4.183485e-02	1.211196e-01	2.280883	2.853306e-01	6.687190e-01	0.277215	4.333000e-02	1.235977e-01	2.558098	8.941522e-01	1.000000e+00	0.030377	1.000000e+00	1.000000e+00	0.757891	9.121845e-01	1.000000e+00	0.030377	1	0	3	0.180132	0.000000	0.171260
ENSG00000001461.18	1.968028e-02	7.931312e-02	2.796150	3.634805e-01	7.017610e-01	0.236590	2.203350e-02	8.368304e-02	3.032739	1.000000e+00	1.000000e+00	0.016014	1.000000e+00	1.000000e+00	0.789315	1.000000e+00	1.000000e+00	0.016014	1	0	4	0.152568	0.000000	0.147116
